place,rainfall,groundwater_refilled_total,groundwater_refilled_irrigated,groundwater_refilled_nonirrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_irrigated,land_nonirrigated,land_total,year
minapur,1154.5,7478.33,0,7478.33,6312.46,6312.46,critical,0,23658,23658,2021
kawakole,1041.8,7048.79,406.41,6642.38,1635.45,1006.02,safe,272,28450,29909,2021
bithan,1192.3,3856.33,0,3856.33,2055.23,2055.23,safe,0,11927,11927,2021
araria,1632.2,21078.66,14393.49,6685.17,3567.31,1940.27,safe,22535,17562,40097,2021
ariyari,1008.4,4961.1,1496.78,3464.32,2481.79,2131.11,safe,2314,12351,14665,2021
kargahar,949.1,11732.05,5426.67,6305.38,6588.47,275.71,safe,4900,28251,33151,2021
baheri,1123.6,6527.18,0,6527.18,3936.22,3936.22,safe,0,21482,21482,2021
gopalpur,1207.9,3650.14,0,3650.14,1137.35,1137.35,safe,0,13257,13257,2021
mainatand,1472,10198.04,8466.22,1731.82,1276.54,738.44,safe,16399,7047,23446,2021
patahi,1197.7,4441.46,1803.93,2637.53,2283.08,1793.21,safe,2355,9494,11849,2021
jamui,1107.3,5288.16,1100.75,4187.41,2644.21,1983.68,safe,198,13192,17391,2021
bahadurpur,1123.6,5246.34,649.06,4597.28,2355.67,1505.79,safe,882.51,15968.49,16851,2021
tardih,1123.6,2501.3,0,2501.3,1023.16,1023.16,safe,0,8370,8370,2021
gurua,1003.9,7070.6,3540.01,3530.59,2507.77,733.87,safe,4660,14281,18941,2021
kalyanpur,1197.7,9848.09,3397.67,6450.42,4763.44,3220.61,safe,805,23006,23811,2021
paharpur,1197.7,8660.64,6812.92,1847.72,3706.14,1733.07,safe,10250,5216,15466,2021
laukahi,1293.3,13031.91,7970.16,5061.75,2879.83,1532.25,safe,10171,16463,26634,2021
garkha,1123.8,6488.35,2354.71,4133.64,3218.62,2382.75,safe,3073,14130,17203,2021
alauli,1233.9,8773.66,0,8773.66,4071.9,4071.9,safe,0,27447,27447,2021
kesaria,1197.7,7568.46,5077.45,2491.01,2203.16,1398.05,safe,8250,10575,18825,2021
basopatti,1293.3,4980.68,1423.9,3556.78,2673.32,1220.8,safe,1167,11911,13078,2021
modanganj,936.6,2599.48,527.71,2071.77,2005.02,1731.6,semi_critical,470,7524,7994,2021
sarmera,1002.2,3119.01,0,3119.01,1914.83,1914.83,safe,0,12372,12372,2021
mahua,1176.5,8405.61,8405.61,0,3916.69,2162.323751,safe,15143,0,15143,2021
dobhi,1003.9,4611.45,1750.53,2860.92,1056.3,386.59,safe,3070,13931,18313,2021
rampur,1126.3,5597.84,3163.64,2434.2,1308.4,637.36,safe,5463,11734,19009,2021
koilwar,1051.5,3344.11,203.04,3141.07,2834.41,2072.87,critical,282.8,10563.2,10846,2021
nautan,1472,9904.49,7304.5,2599.99,4096.88,2578.98,safe,12568,6282,18850,2021
sahar,1051.5,5676.34,4339.81,1336.53,1214.91,156.74,safe,7110,5619,12729,2021
dumra,1293.1,6092.77,0,6092.77,2939.72,2939.72,safe,0,19542,19542,2021
bhitaha,1472,4713.01,0,4713.01,2178.89,2178.89,safe,0,14087,14087,2021
sono,1107.3,3952.89,193.72,3759.17,1306.13,636.57,safe,564,30009,39227,2021
muhra,1003.9,3432.89,193.48,3239.41,325.58,325.58,safe,0,14764,14764,2021
charpokhri,1051.5,5427.56,4874.59,552.97,1642.33,990.92,safe,9952,979,10931,2021
belhar,974.9,7223.17,5904.51,1318.66,1330.11,452.91,safe,10445,7323,23658,2021
falka,1342.7,9962.95,5300.41,4662.54,3043.52,2558.31,safe,4787,12161,16948,2021
bagaha 2,1472,17779.98,14340.89,3439.09,1124.27,0,safe,13512,16081,47093,2021
naubatpur,1074.8,6895.84,2675.51,4220.33,4263.6,2773.17,safe,3495,13279,16774,2021
makhdumpur,936.6,7801.87,2630.12,5171.75,4632.35,3073.9,safe,3762,20608,24370,2021
dinara,949.1,12365.45,8304.48,4060.97,3689.64,391.43,safe,12145,18762,30907,2021
banka,974.9,7376.78,1151.28,6225.5,1374.31,442.03,safe,750,29212,29962,2021
sonbhadra banshi surypur,874.4,2466.97,785.87,1681.1,839.92,647.94,safe,1219,7777,8996,2021
dawath,949.1,4875.63,4122.8,752.83,1645.63,242.13,safe,7419,3219,10638,2021
motipur,1154.5,12553.9,5418.74,7135.16,6779.51,4364.87,safe,7936.92,23419.08,31356,2021
taraiya,1123.8,3862.23,2181.61,1680.62,2267.06,1019.25,safe,3905,6262,10167,2021
ismailpur,1207.9,2206.1,0,2206.1,514.28,514.28,safe,0,8269,8269,2021
thawe,1135.5,3427.3,2164.7,1262.6,1493.72,1130.8,safe,3441,3558,6999,2021
amas,1003.9,3412.02,1250.34,2161.68,691.18,294.42,safe,1350,9494,10844,2021
murliganj,1392.7,12884.41,10348.14,2536.27,4513.3,3762.59,safe,14774,4971,19745,2021
hisua,1041.8,3597.79,0,3597.79,2861.18,2861.18,semi_critical,0,12270,12270,2021
dharahara,1146.8,6996.6,2183.43,4813.17,982.37,571.14,safe,4641,21051,28285,2021
sampatchak,1074.8,2221.28,57.44,2163.84,1961.62,1961.62,critical,0,6535,6535,2021
mansi,1233.9,2317.93,0,2317.93,1168.62,1168.62,safe,0,7001,7001,2021
banjariya,1197.7,5097.29,1196.75,3900.54,2677.32,1546.22,safe,1717.21,12217.79,13935,2021
naugachhia,1207.9,3135.74,0,3135.74,1894.55,1894.55,safe,0,10670,10670,2021
panchdevari,1135.5,4720.26,2050.11,2670.15,2226.42,1476.31,safe,653,8625,9278,2021
teghra,1090.7,4246.84,0,4246.84,2172.82,2172.82,safe,0,14474,14474,2021
shankarpur,1392.7,6655.6,4358.53,2297.07,2155.78,1560.2,safe,4502,6356,10858,2021
darauli,1135.4,8955.21,6124.77,2830.44,3613.02,1601.63,safe,7983.44,9294.56,17278,2021
nokha,949.1,5684.3,2073.65,3610.65,1897.14,288.56,safe,585,16325,16910,2021
rosera,1192.3,3310.06,0,3310.06,2084.43,2084.43,safe,0,10721,10721,2021
bagaha 1,1472,19635.04,13117.68,6517.36,2970.64,1389.79,safe,20146,19461,39607,2021
gauradih,1207.9,4485.8,1114.84,3370.96,1100.92,633.24,safe,1689,11736,13425,2021
ramgarh chowk,1146.8,4960.42,4051.72,908.7,1716.71,1136.96,safe,6625,2630,10427,2021
dhamdaha,1598.2,20078.44,8374.32,11704.12,4726.24,3436.02,safe,4759,31495,36254,2021
begusarai,1090.7,6967.32,0,6967.32,4153.5,4153.5,safe,0,22214,22214,2021
daman,2157.349506,3222.53,3222.53,0,4430.48,2162.323751,over_exploited,6840,0,7200,2021
diu,832.0013333,585.08,585.08,0,1282.09,2162.323751,over_exploited,3676,0,4000,2021
baramulla,1535.1,66204.23,0,66204.23,8031.05,8031.05,safe,0,112500,424300,2021
samba,1338.7,23404.05,9130.42,14273.63,3491.67,550.92,safe,10202,34587,90400,2021
pulwama,721.8,28048.77,0,28048.77,6738.79,6738.79,safe,0,57500,108600,2021
kupwarar,1069.1,36982.73,0,36982.73,6005.81,6005.81,safe,0,60000,237900,2021
rajouri,1742.434517,33097.88,1539.49,31558.39,3144.6,2750.27,safe,4457,30543,263000,2021
reasi,2198.3,7010.04,855.4,6154.64,1385.19,924.26,safe,1294,5706,171900,2021
ramban,1350.2,1559.07,0,1559.07,453.88,453.88,safe,0,1831,132900,2021
udhampur,2198.3,17742.63,2619.07,15123.56,3837.05,2958.55,safe,4827,17020,263700,2021
doda,1262.8,1105.72,0,1105.72,467.91,467.91,safe,0,2245,873645,2021
kathua,1338.7,47979.86,17619.16,30360.7,13137.72,2793.92,safe,20808,56692,250200,2021
bandipora,1069.1,1308.19,0,1308.19,365.69,365.69,safe,0,3328,34500,2021
poonch,1458.1,20688.56,0,20688.56,2659.28,2659.28,safe,0,24263,167400,2021
budgam,721.8,31439.78,0,31439.78,5905.25,5905.25,safe,0,58000,136100,2021
anantnag,1235.1,27629.66,11041.94,16587.72,5553.95,3609.07,safe,27940,37771,357400,2021
shopian,1235.1,18074.02,0,18074.02,2423.66,2423.66,safe,0,23400,31200,2021
ganderbal,721.8,1121.6,0,1121.6,557.06,557.06,safe,0,2400,25900,2021
srinagar urban,721.8,12187.63,0,12187.63,8100.08,8100.08,semi_critical,0,87500,197900,2021
jammu,1338.7,99020.7,66077.25,32943.45,32421.04,5402.82,safe,60229,104982,234200,2021
kishtwar,1262.8,1690.63,0,1690.63,229.73,229.73,safe,0,2000,164400,2021
kulgam,1235.1,13821.58,0,13821.58,2541.64,2541.64,safe,0,14400,41000,2021
arniwala sheikh subanpur,146.2081798,5598.96,5598.96,0,17804.4,2162.323751,semi_critical,12837,0,32837,2021
kahnuwan,905,21674.68,21674.68,0,26176.39,2162.323751,over_exploited,33691,0,33691,2021
malerkotla-2,581,9913.06,9913.06,0,26573.84,2162.323751,over_exploited,32242,0,32242,2021
verka,670,8995.26,8995.26,0,19575.22,2162.323751,over_exploited,17566,0,17566,2021
moga-2,447,8037.83,8037.83,0,24892.22,2162.323751,over_exploited,30930,0,30930,2021
mahilpur,698,5907.7,5907.7,0,4792.66,2162.323751,critical,40804,0,40804,2021
jalandhar west,697,7561.42,7561.42,0,16566.76,2162.323751,over_exploited,30329,0,30329,2021
sujanpur,1245,17912.21,17912.21,0,5643.37,2162.323751,safe,15720,0,15720,2021
lehra gaga,477,8854.39,8854.39,0,22042.3,2162.323751,over_exploited,40808,0,40808,2021
rurka kalan,551,7984.36,7984.36,0,17301.15,2162.323751,over_exploited,19307,0,19307,2021
fatehgarh churian,691,16839.16,16839.16,0,25322.29,2162.323751,over_exploited,23070,0,23070,2021
gurdaspur,852,16897.98,16897.98,0,16646.61,2162.323751,over_exploited,28902,0,28902,2021
abohar,117.081839,21647.13,21647.13,0,12926.58,2162.323751,safe,26719,0,86719,2021
tarn taran,519,9151.64,9151.64,0,19818.36,2162.323751,over_exploited,36094,0,36094,2021
kharar,723,8358.95,8358.95,0,8615.88,2162.323751,over_exploited,42275,0,42275,2021
dhuri,401,7226.76,7226.76,0,22342.18,2162.323751,over_exploited,23337,0,23337,2021
batala,744,18154.55,18154.55,0,27296.68,2162.323751,over_exploited,25611,0,25611,2021
gandiwind tatla,584,9254.22,9254.22,0,10336.69,2162.323751,over_exploited,20990,0,20990,2021
derabassi,776,10023.57,10023.57,0,14667.31,2162.323751,over_exploited,39044,0,39044,2021
bathinda,402,18593.62,18593.62,0,22335.69,2162.323751,over_exploited,44559,0,44559,2021
raikot,571,8997.02,8997.02,0,22866.07,2162.323751,over_exploited,30304,0,30304,2021
maur,395,9150.79,9150.79,0,14738.48,2162.323751,over_exploited,29581,0,29581,2021
ghanaur,759,7048.04,7048.04,0,6351.85,2162.323751,over_exploited,24174,0,24174,2021
rayya,751,16939.51,16939.51,0,28499.36,2162.323751,over_exploited,32251,0,32251,2021
jandiala guru,623,11804.97,11804.97,0,25306.71,2162.323751,over_exploited,23186,0,23186,2021
machhiwara,319,18618.1,18618.1,0,25695.48,2162.323751,over_exploited,33303,0,33303,2021
dina nagar,954,9774.13,9774.13,0,7584.29,2162.323751,semi_critical,19734,0,19734,2021
gharota,1126,4058.06,4058.06,0,2586.19,2162.323751,semi_critical,11638,0,11638,2021
sehna,456,19265.39,19265.39,0,36597.57,2162.323751,over_exploited,42055,0,42055,2021
dhariwal,819,16017.09,16017.09,0,24130.68,2162.323751,over_exploited,23414,0,23414,2021
garh shankar,743,9202.26,9202.26,0,14764.24,2162.323751,over_exploited,38858,0,38858,2021
patiala,710,15381.37,15381.37,0,27077.55,2162.323751,over_exploited,41740,0,41740,2021
nakodar,595,7585.51,7585.51,0,21342.54,2162.323751,over_exploited,28349,0,28349,2021
dera baba nanak,742,15441.19,15441.19,0,25360.82,2162.323751,over_exploited,28954,0,28954,2021
ludhiana city,641,1115.1,1115.1,0,4274.19,2162.323751,over_exploited,16553,0,16553,2021
hoshiarpur-1,759,6904.76,6904.76,0,10342.38,2162.323751,over_exploited,35411,0,35411,2021
sunam,446,10715.94,10715.94,0,32867.17,2162.323751,over_exploited,48981,0,48981,2021
malout,77.70592001,13147.02,13147.02,0,10218.75,2162.323751,safe,11233,0,56233,2021
majri,730,4769.18,4769.18,0,2786.06,2162.323751,safe,28064,0,28064,2021
dasuya,953,11422,11422,0,14747.43,2162.323751,over_exploited,32398,0,32398,2021
budhlada,167.536713,24627.42,24627.42,0,44001.31,2162.323751,critical,29590,0,72590,2021
kot kapura,397,18436.44,18436.44,0,20810.51,2162.323751,over_exploited,32355,0,32355,2021
shahkot,555,4189.82,4189.82,0,12970.04,2162.323751,over_exploited,22414,0,22414,2021
bhawanigarh,553,9055.77,9055.77,0,28391.45,2162.323751,over_exploited,33158,0,33158,2021
sardulgarh,120.4705552,6194.59,6194.59,0,19828.46,2162.323751,semi_critical,10660,0,35660,2021
talwandi sabo,425,21874.13,21874.13,0,14799.72,2162.323751,semi_critical,57373,0,57373,2021
mahal kalan,561,16694.12,16694.12,0,17545.84,2162.323751,over_exploited,30275,0,30275,2021
jhunir,202.1593509,11782.35,11782.35,0,18691.29,2162.323751,safe,16601,0,32601,2021
ghall khurd,424,41360.6,41360.6,0,51572.92,2162.323751,over_exploited,51840,0,51840,2021
maloud,586,10344.25,10344.25,0,18545.1,2162.323751,over_exploited,20188,0,20188,2021
nurpur bedi,869,7255.43,7255.43,0,4765.34,2162.323751,safe,33372,0,33372,2021
doraha,637,19318.23,19318.23,0,24676.98,2162.323751,over_exploited,20269,0,20269,2021
bhagta bhai ka,395,4362.4,4362.4,0,13534.84,2162.323751,over_exploited,26696,0,26696,2021
sher pur,645,6637.64,6637.64,0,17084.89,2162.323751,over_exploited,28584,0,28584,2021
khadur sahib,647,10308.14,10308.14,0,20702.77,2162.323751,over_exploited,28654,0,28654,2021
bassi pathanan,706,4685.29,4685.29,0,10445.28,2162.323751,over_exploited,18098,0,18098,2021
hoshiarpur-2,715,7558.95,7558.95,0,5841.08,2162.323751,semi_critical,43591,0,43591,2021
zira,451,13089.39,13089.39,0,31854.47,2162.323751,over_exploited,41204,0,41204,2021
rampura,195,19637.72,19637.72,0,13837.97,2162.323751,semi_critical,33258,0,33258,2021
pakhowal,604,7718.54,7718.54,0,18991.98,2162.323751,over_exploited,24087,0,24087,2021
lohian,545,6885.71,6885.71,0,15325.01,2162.323751,over_exploited,19004,0,19004,2021
saroya,807,2927.7,2927.7,0,1554.25,2162.323751,safe,16802,0,16802,2021
faridkot,401,42787.85,42787.85,0,55528.63,2162.323751,over_exploited,72753,0,72753,2021
nur mahal,601,9500.83,9500.83,0,17035.03,2162.323751,over_exploited,26121,0,26121,2021
kot ise khan at dharamkot,490,30115.84,30115.84,0,43216.39,2162.323751,over_exploited,56234,0,56234,2021
kalanaur,853,10842.91,10842.91,0,17962.19,2162.323751,over_exploited,19269,0,19269,2021
bhogpur,750,10101.82,10101.82,0,18478.05,2162.323751,over_exploited,18255,0,18255,2021
amritsar urban,670,606.89,606.89,0,1771.44,2162.323751,over_exploited,8664,0,8664,2021
valtoha,490,10112.09,10112.09,0,15106.13,2162.323751,over_exploited,37614,0,37614,2021
bhikhiwind,544,8943.72,8943.72,0,17604.27,2162.323751,over_exploited,32937,0,32937,2021
mukerian,988,7787.21,7787.21,0,6286.21,2162.323751,semi_critical,23162,0,23162,2021
dhilwan,680,18127.96,18127.96,0,28883.97,2162.323751,over_exploited,27232,0,27232,2021
nihal singh wala,465,10429.17,10429.17,0,31070.25,2162.323751,over_exploited,39194,0,39194,2021
chogawan,603,26573.52,26573.52,0,34743.31,2162.323751,over_exploited,42030,0,42030,2021
bhunga,908,9513.84,9513.84,0,6499.65,2162.323751,semi_critical,54759,0,54759,2021
chohla sahib,559,6788.07,6788.07,0,15087.51,2162.323751,over_exploited,28817,0,28817,2021
hajipur,1011,10088.95,10088.95,0,5843.01,2162.323751,safe,17944,0,17944,2021
goniana mandi,388,5823.03,5823.03,0,11474.38,2162.323751,over_exploited,31977,0,31977,2021
makhu,483,23540.72,23540.72,0,20953.9,2162.323751,critical,33406,0,33406,2021
amloh,595,6957.21,6957.21,0,15500.32,2162.323751,over_exploited,25765,0,25765,2021
samrala,674,8561.4,8561.4,0,18053.86,2162.323751,over_exploited,18016,0,18016,2021
phul,344,13658.7,13658.7,0,16543.36,2162.323751,over_exploited,28221,0,28221,2021
sanaur,701,9701.25,9701.25,0,20673.46,2162.323751,over_exploited,37045,0,37045,2021
jalalabad,263.0619784,20522.64,20522.64,0,35887.36,2162.323751,over_exploited,33807,0,47807,2021
dorangala,892,2771.57,2771.57,0,2293.08,2162.323751,semi_critical,10920,0,10920,2021
jalandhar east,668,4010.94,4010.94,0,14439.94,2162.323751,over_exploited,20202,0,20202,2021
firozpur,425,33086.21,33086.21,0,33555.12,2162.323751,over_exploited,45410,0,45410,2021
jaiton,397,13333.53,13333.53,0,22501.18,2162.323751,over_exploited,42490,0,42490,2021
ludhiana-1,641,7466.63,7466.63,0,23737.79,2162.323751,over_exploited,23364,0,23364,2021
sirhind,699,13420.79,13420.79,0,23998.89,2162.323751,over_exploited,30501,0,30501,2021
majitha,676,20800.68,20800.68,0,29375.1,2162.323751,over_exploited,26159,0,26159,2021
phillaur,619,8562.5,8562.5,0,19989.1,2162.323751,over_exploited,29146,0,29146,2021
talwara,984,5392.22,5392.22,0,1641.61,2162.323751,safe,22573,0,22573,2021
bhikhi,441,10952.28,10952.28,0,21184.46,2162.323751,over_exploited,36834,0,36834,2021
mamdot,405,12998.84,12998.84,0,22782.74,2162.323751,over_exploited,33040,0,33040,2021
balachaur,807,11719.18,11719.18,0,9970.01,2162.323751,semi_critical,32464,0,32464,2021
phagwara,528,9695.99,9695.99,0,23111.92,2162.323751,over_exploited,29635,0,29635,2021
pathankot,1157,10914.39,10914.39,0,5537.95,2162.323751,safe,14428,0,14428,2021
fazilka,144.0220686,13516.67,13516.67,0,17922.35,2162.323751,safe,15610,0,37610,2021
guruhar sahai,396,27835.41,27835.41,0,25872.19,2162.323751,over_exploited,47053,0,47053,2021
aur,735,23634.84,23634.84,0,24405.8,2162.323751,over_exploited,23037,0,23037,2021
dhar kalan,1200,7281.89,7281.89,0,1773.72,2162.323751,safe,28999,0,28999,2021
moga-1,458,11325.6,11325.6,0,33927.06,2162.323751,over_exploited,40872,0,40872,2021
banga,618,5668.6,5668.6,0,10367.17,2162.323751,over_exploited,26066,0,26066,2021
jagraon,522,20227.18,20227.18,0,28496.24,2162.323751,over_exploited,37126,0,37126,2021
patran,537,10281.64,10281.64,0,26450.21,2162.323751,over_exploited,41841,0,41841,2021
bhunarheri,727,8227.77,8227.77,0,20851.03,2162.323751,over_exploited,36316,0,36316,2021
khamanon,709,8260.24,8260.24,0,12659.98,2162.323751,over_exploited,19670,0,19670,2021
andana,491,8328.39,8328.39,0,18841.84,2162.323751,over_exploited,32794,0,32794,2021
khera,737,5463.17,5463.17,0,10255.5,2162.323751,over_exploited,20212,0,20212,2021
chamkaur sahib,781,12954.95,12954.95,0,15116.34,2162.323751,over_exploited,19223,0,19223,2021
nathana,373,12989.21,12989.21,0,13737.12,2162.323751,over_exploited,37558,0,37558,2021
bagha purana,412,24363.15,24363.15,0,45723.74,2162.323751,over_exploited,55866,0,55866,2021
nawan shahr,837,10891.98,10891.98,0,14200.68,2162.323751,over_exploited,27592,0,27592,2021
adampur,684,7473.38,7473.38,0,14342.56,2162.323751,over_exploited,21823,0,21823,2021
ajnala,596,26577.07,26577.07,0,37591.23,2162.323751,over_exploited,45610,0,45610,2021
patti,517,8480.95,8480.95,0,18020.5,2162.323751,over_exploited,39482,0,39482,2021
samana,546,9911.74,9911.74,0,16894.26,2162.323751,over_exploited,39231,0,39231,2021
tarsikka,708,13633.06,13633.06,0,24839.5,2162.323751,over_exploited,23578,0,23578,2021
ludhiana-2,684,19246.13,19246.13,0,37396.85,2162.323751,over_exploited,47566,0,47566,2021
bamial,1087,1459.5,1459.5,0,1141.18,2162.323751,semi_critical,4641,0,4641,2021
nadala,735,12735.43,12735.43,0,21697.43,2162.323751,over_exploited,24377,0,24377,2021
tanda,869,10737.85,10737.85,0,15241.81,2162.323751,over_exploited,27371,0,27371,2021
sudhar,602,5763.83,5763.83,0,12311.39,2162.323751,over_exploited,14060,0,14060,2021
sangrur,477,12650.12,12650.12,0,35328.07,2162.323751,over_exploited,47418,0,47418,2021
khanna,623,8239.72,8239.72,0,22045.96,2162.323751,over_exploited,27469,0,27469,2021
mansa,366,16394.85,16394.85,0,25134.17,2162.323751,over_exploited,39177,0,39177,2021
dirba,506,6350.15,6350.15,0,19554.11,2162.323751,over_exploited,30716,0,30716,2021
rajpura,774,6114.97,6114.97,0,11052.72,2162.323751,over_exploited,26352,0,26352,2021
malerkotla-1,562,11692.91,11692.91,0,32367.36,2162.323751,over_exploited,42287,0,42287,2021
qadian,825,17113.25,17113.25,0,15789.75,2162.323751,over_exploited,20372,0,20372,2021
kot bhai at gidderbaha,76.84167415,15086.76,15086.76,0,12560.77,2162.323751,safe,12681,0,65681,2021
morinda,755,5397.25,5397.25,0,7714.38,2162.323751,over_exploited,13971,0,13971,2021
rupnagar,827,9019.46,9019.46,0,5286.07,2162.323751,safe,39056,0,39056,2021
barnala,538,19154.92,19154.92,0,55094.11,2162.323751,over_exploited,68971,0,68971,2021
dehlon,598,6457.66,6457.66,0,13779.06,2162.323751,over_exploited,14040,0,14040,2021
shambu kalan,776,5618.64,5618.64,0,12406.76,2162.323751,over_exploited,23345,0,23345,2021
kapurthala,625,9414.26,9414.26,0,24251.14,2162.323751,over_exploited,37167,0,37167,2021
anandpur sahib,897,8482.07,8482.07,0,5786.12,2162.323751,semi_critical,32031,0,32031,2021
naushera pannuan,543,4889.57,4889.57,0,11319.42,2162.323751,over_exploited,17247,0,17247,2021
muktsar,78.85636801,33698.98,33698.98,0,18605.07,2162.323751,safe,16781,0,82781,2021
sultanpur lodhi,579,18557.22,18557.22,0,41569.66,2162.323751,over_exploited,44464,0,44464,2021
nabha,636,21147.34,21147.34,0,40682.23,2162.323751,over_exploited,61803,0,61803,2021
sangat,423,22806.01,22806.01,0,14850.16,2162.323751,semi_critical,48201,0,48201,2021
attari,628,9942.12,9942.12,0,16554.74,2162.323751,over_exploited,25434,0,25434,2021
khuian sarwar,152.5072556,15242.26,15242.26,0,10974.58,2162.323751,safe,28981,0,68981,2021
sri hargobindpur,790,20663.34,20663.34,0,18216.92,2162.323751,critical,27488,0,27488,2021
jalandhar city,668,617.34,617.34,0,1696,2162.323751,over_exploited,10295,0,10295,2021
sidhwan bet,554,13793.19,13793.19,0,31141.93,2162.323751,over_exploited,44370,0,44370,2021
mehatpur,576,4675.71,4675.71,0,11475.98,2162.323751,over_exploited,17754,0,17754,2021
lambi,80.50668278,26299.22,26299.22,0,9037.29,2162.323751,safe,11733,0,58733,2021
narot jaimal singh,1095,6978.51,6978.51,0,4829.31,2162.323751,semi_critical,19651,0,19651,2021
harsha chhina,598,13054.97,13054.97,0,21798.32,2162.323751,over_exploited,23162,0,23162,2021
south west khasi hills,3918,8936.96,0,8936.96,137.73,137.73,safe,0,60873.44,134100,2021
south west garo hills,1634,4781.49,0,4781.49,475.89,475.89,safe,0,56023,89600,2021
west garo hills,2678,32477.84,0,32477.84,1122.22,1122.22,safe,0,183011.12,278100,2021
east garo hills,2975,6923.05,0,6923.05,431.87,431.87,safe,0,66117.15,144300,2021
greater shillong,4032,2701.28,0,2701.28,316.63,316.63,safe,0,15811,18035,2021
east jaintia hills,2320,10140.87,0,10140.87,207.65,207.65,safe,0,100087,204000,2021
west khasi hills,4062,30843.83,0,30843.83,484.05,484.05,safe,0,165243.9,390600,2021
ri bhoi,2030,6652.76,0,6652.76,369.46,369.46,safe,0,90914.58,244800,2021
west jaintia hills,2320,15276.09,0,15276.09,613.81,613.81,safe,0,99725.83,177900,2021
south garo hills,4210,19832.93,0,19832.93,283.17,283.17,safe,0,86770.95,188700,2021
north garo hills,2803,15984.49,0,15984.49,506.63,506.63,safe,0,50528,116000,2021
east khasi hills,4032,17918.28,0,17918.28,416.1,416.1,safe,0,89450.1,256764.8,2021
udaipur,1399.8,10899.66,313.73,10585.93,2310.7,2280.57,safe,1280,124350,141730,2021
malkharoda,1386,4824.78,2760.78,2064,3346.6,1693.05,semi_critical,17125,16943,34068,2021
charama,1395.2,8055.5,597.46,7458.04,5415.6,5219.25,semi_critical,1835,43700,50595,2021
bhopalpattnam,1528.1,9386.37,66.58,9319.79,671.17,669.6,safe,25,92573,144418,2021
bemetara,1122.9,11784.77,4616.58,7168.19,10711.77,9215.77,critical,9853,62926,72779,2021
bhatapara,1481,6968,3341.66,3626.34,4202.11,2569.62,safe,15315,31800,47115,2021
narharpur,1371,8226.46,580.53,7645.93,4710.93,4598.34,safe,1783,71237,73758,2021
basna,1385.3,11076.92,3182.94,7893.98,8377.82,6814.91,semi_critical,7200,57100,64300,2021
dhamdha,1122.9,15535.41,5436.82,10098.59,12210.79,8691.12,semi_critical,20994,67255,88249,2021
balod,1122.9,5188.55,3169.45,2019.1,3934.49,1716.37,semi_critical,14333,16092,30425,2021
pathalgaon,1487,5080.1,303.9,4776.2,2538.93,2499.41,safe,1580,55460,79200,2021
bijapur,1528.1,10772.76,6.85,10765.91,1082.57,1082.51,safe,40,86738,114011,2021
bagicha,1410,6159.95,285.52,5874.43,1806.46,1786.04,safe,1671,109219,181040,2021
manpur,1208.7,7474.59,1272.67,6201.92,1492.12,1037.62,safe,2017,55024,113950,2021
baikunthpur,1317,7425.27,2486.15,4939.12,4456.11,3644.81,safe,3692,39855,56221,2021
pamgarh,1386,5147.8,4119.59,1028.21,1436.5,497.92,safe,30057,14476,44533,2021
bhaiyathan,1317,7510.88,686.52,6824.36,4546.6,4253.61,safe,2228,40380,43360,2021
dharsiwa,1400,9389.82,3540.69,5849.13,8130.18,4630.16,critical,11267,53964,65231,2021
kuakonda,1327.9,4210.88,7.48,4203.4,633.55,633.49,safe,30,52353,56326,2021
jashpur,1487,3200.13,82.54,3117.59,1985.94,1931.96,safe,113,44823,58986,2021
dabhara,1386,5528.96,2678.3,2850.66,4032.05,2339.79,semi_critical,13350,28714,42064,2021
rajnandgaon,1208.7,8684.5,1513.38,7171.12,6033.75,4849.66,semi_critical,7621,66624,74265,2021
kusmi,1317,8362,410.34,7951.66,1256.01,1178.87,safe,2095,117464,150973,2021
antagarh,1395.2,9804.87,358.14,9446.73,1033.24,1022.57,safe,1311,76728,79632,2021
koyalibeda,1411.4,18120.48,1921.36,16199.12,2761.56,2584.15,safe,13195,184988,204312,2021
kanker,1395.2,8251.36,378.45,7872.91,3876.68,3791.96,safe,1750,78510,81071,2021
sarangarh,1481,6204.8,1237.88,4966.92,1803.7,1619.55,safe,8672,66240,85112,2021
belha,1195.9,11255.41,2719.32,8536.09,8945.21,7602.69,semi_critical,14274,73616,87890,2021
odgi,1317,4847.01,709.68,4137.33,1778.29,1560.83,safe,1316,36073,47104,2021
doundi,1122.9,4873.87,1769.51,3104.36,2952.03,2186.7,safe,8495,32468,52919,2021
baloda bazar,1481,6260.94,4185.33,2075.61,3785.26,2243.23,safe,29775,32545,62320,2021
kunkuri,1487,3019.85,326.7,2693.15,1451.9,1378.09,safe,2550,44987,55737,2021
marwahi,1229.8,5430.35,489.5,4940.85,1476.06,1401.19,safe,4510,75037,100972,2021
mainpur,1385.3,5316.16,1073.59,4242.57,2864.94,2628.97,safe,4850,43600,217963,2021
magarlod,1385.3,12121.97,3462.56,8659.41,7922.45,6344.23,safe,17099,71092,88191,2021
mungeli,1351,7265.2,3360.98,3904.22,3650.77,2253.5,safe,23551,37781,61332,2021
kawardha,1117,14655.77,6905.41,7750.36,9039.57,6630.6,safe,7299,45844,53143,2021
